Presence,Long,Lat,alt,mdr
1,-106.121,23.5088,490,120
1,-105.843,23.5146,1771,117
1,-105.711,23.61525,1618,122
1,-106.284,23.65134,345,124
1,-106.581,23.65358,237,124
0,-104.796,23.75417,2211,141
0,-101.429,23.77917,2221,184
0,-103.796,23.85417,2414,173
0,-98.8708,23.87083,152,135
0,-100.304,23.87917,1970,168
1,-106.333,23.90362,267,136
1,-106.871,23.99973,57,141
1,-106.415,24.08576,544,135
0,-105.113,24.09583,2492,145
1,-106.398,24.11228,700,135
1,-106.343,24.1488,559,135
1,-106.644,24.17464,225,144
1,-106.805,24.32554,375,144
1,-106.371,24.41161,1862,115
0,-98.9792,24.4375,372,139
0,-104.829,24.4625,2499,163
1,-106.318,24.47802,1996,121
1,-106.213,24.48125,2357,119
1,-106.222,24.49278,2511,119
1,-106.389,24.52034,1107,132
0,-100.621,24.52083,1886,172
0,-100.738,24.52083,1778,174
1,-106.595,24.52618,595,145
1,-106.523,24.54602,1194,133
1,-107.026,24.55784,193,153
1,-107.455,24.57665,8,149
1,-107.611,24.61069,4,150
1,-106.366,24.61983,780,145
1,-106.542,24.64325,1102,135
1,-106.698,24.65349,236,154
1,-107.771,24.69802,7,151
1,-107.153,24.70009,230,156
1,-107.658,24.75463,13,153
1,-106.624,24.76362,1098,133
0,-97.7292,24.77917,4,115
0,-101.988,24.8875,1530,171
0,-100.313,24.8875,2270,149
0,-99.8125,24.89583,681,141
1,-106.982,24.93358,255,164
1,-107.317,24.93661,114,161
0,-101.146,25.02083,2017,175
1,-106.693,25.05416,688,152
1,-106.781,25.10686,788,151
1,-107.617,25.10945,90,160
0,-107.121,25.12917,704,156
0,-105.638,25.15417,2448,158
1,-107.34,25.17352,224,163
1,-107.269,25.17748,550,162
1,-106.912,25.17981,1306,147
0,-97.6958,25.1875,2,113
1,-107.624,25.21885,160,160
0,-106.438,25.25417,1730,137
1,-107.555,25.33087,234,162
1,-107.507,25.33088,221,162
0,-107.254,25.34583,679,163
0,-111.238,25.35417,532,150
1,-107.456,25.39468,480,163
1,-107.773,25.40186,240,161
0,-100.088,25.44583,404,130
1,-107.225,25.46405,1118,159
1,-107.177,25.53057,708,156
0,-108.446,25.57917,18,167
1,-107.427,25.61586,1408,156
0,-101.404,25.6375,1129,143
1,-107.649,25.70611,762,159
0,-105.338,25.74583,1768,188
1,-107.161,25.7688,1089,154
0,-107.696,25.80417,771,163
0,-102.721,25.8625,1087,155
0,-101.271,25.87083,973,140
0,-101.671,25.87917,1605,145
0,-108.521,25.89583,77,173
0,-109.188,25.92083,9,165
0,-105.004,25.97083,2036,190
0,-98.0625,26.0125,26,114
0,-102.446,26.0125,1329,150
1,-107.737,26.04373,1208,164
1,-107.817,26.09258,371,170
0,-105.013,26.09583,1860,189
1,-107.374,26.10728,1939,163
0,-99.1375,26.17917,96,127
0,-106.504,26.17917,2621,174
0,-98.7958,26.2125,85,126
0,-99.4875,26.2125,161,126
1,-107.627,26.24794,1490,168
1,-107.417,26.30499,1297,167
0,-111.554,26.34583,105,143
1,-107.636,26.35541,2146,168
1,-108.054,26.40239,861,170
0,-102.288,26.47083,1468,146
0,-101.696,26.57083,1937,145
0,-104.938,26.57917,1606,186
1,-108.214,26.60363,869,176
0,-112.221,26.6375,805,151
0,-104.621,26.64583,1439,185
1,-108.488,26.65987,171,183
1,-108.459,26.71003,310,182
1,-108.598,26.74314,429,181
1,-107.991,26.74788,1937,172
0,-100.604,26.7625,1481,137
1,-108.744,26.76923,467,178
1,-107.814,26.79273,590,175
0,-106.829,26.79583,2469,183
1,-108.104,26.81119,706,173
0,-103.429,26.85417,1056,152
0,-105.413,26.8625,1677,176
1,-108.435,26.86317,294,179
0,-105.113,26.89583,1467,182
1,-108.368,26.92052,291,178
1,-107.788,26.9439,1149,175
1,-108.157,26.95753,647,175
0,-101.113,27.05417,647,148
0,-112.629,27.05417,745,157
0,-102.871,27.12917,1172,144
0,-112.338,27.1375,646,156
0,-108.329,27.2125,1491,174
1,-108.068,27.24943,1880,176
1,-108.79,27.26137,377,181
0,-99.6042,27.30417,161,133
1,-108.197,27.31378,1491,175
1,-108.367,27.35431,1600,174
0,-108.229,27.4125,1253,175
0,-101.179,27.4625,378,150
1,-108.838,27.49328,491,188
1,-108.328,27.50316,775,175
1,-108.684,27.50338,935,169
1,-108.321,27.55053,1532,175
0,-102.138,27.5625,1394,139
0,-99.6625,27.57917,146,133
0,-114.263,27.59583,65,161
1,-109.028,27.62605,670,171
1,-109.226,27.67419,328,176
1,-108.668,27.67867,1337,172
0,-105.004,27.67917,1379,166
0,-102.146,27.6875,1511,137
1,-108.479,27.71531,1688,173
1,-109.439,27.71872,539,167
0,-101.746,27.7375,883,146
1,-109.274,27.79226,424,175
0,-105.496,27.8125,1535,161
0,-113.613,27.8375,76,169
1,-109.502,27.90564,644,168
1,-108.817,27.95349,599,177
1,-108.641,27.95536,1132,173
0,-106.488,28.00417,1794,170
1,-108.989,28.00642,2030,164
1,-109.269,28.01977,529,171
0,-110.363,28.07083,296,141
0,-105.404,28.0875,1223,163
1,-108.668,28.1079,992,170
1,-108.912,28.11333,1439,169
1,-109.069,28.13312,1667,162
1,-108.881,28.15362,815,169
1,-109.427,28.20948,571,178
0,-102.479,28.24583,1401,135
0,-102.154,28.25417,1279,134
1,-109.504,28.26683,306,180
1,-109.288,28.31021,510,177
0,-108.229,28.52083,1965,178
0,-104.263,28.54583,1373,160
0,-107.046,28.57917,2216,184
0,-108.279,28.62083,2496,174
0,-102.638,28.72083,1187,138
0,-107.538,28.7375,2132,193
0,-106.688,28.75417,2331,177
0,-107.538,28.8125,2151,190
0,-113.904,28.87083,271,167
0,-101.246,28.87917,483,133
0,-109.563,28.92083,627,166
0,-101.404,28.99583,750,133
0,-108.554,29.0625,1936,175
0,-107.946,29.1125,2156,185
0,-105.504,29.1375,1325,160
0,-106.796,29.44583,2248,176
0,-111.821,29.47083,198,164
0,-111.904,29.52917,213,166
0,-108.113,29.85417,2071,176
0,-111.721,29.89583,788,164
0,-115.104,29.89583,615,174
0,-110.146,30.0375,992,168
0,-105.221,30.07917,1335,162
0,-112.438,30.17917,576,168
0,-112.713,30.2875,162,171
0,-108.579,30.4125,2290,172
0,-114.746,30.5125,309,171
0,-108.963,30.7875,1442,182
0,-110.304,31.14583,1439,167
0,-115.238,31.32917,578,167
0,-115.729,31.54583,1042,152
0,-115.304,31.72083,93,177
0,-112.513,31.77083,709,169
0,-115.113,31.97083,3,181
0,-114.346,32.00417,81,162
0,-116.288,32.2875,1214,148
